,name,price
0,Memphis Hotel,US$482
1,Leonardo Hotel Frankfurt City South,US$535
2,Novotel Frankfurt City,US$572
3,Leonardo Royal Hotel Frankfurt,US$576
4,Hotel Concorde,US$599
5,Staycity Aparthotels Frankfurt Airport,US$620
6,Best Western Plus Welcome Hotel Frankfurt,US$648
7,Hotel Cult Frankfurt City,US$694
8,Grand Hotel Downtown,US$697
9,Trip Inn Residence City Center,US$699
10,"Holiday Inn Frankfurt Airport, an IHG Hotel",US$736
11,The Blasky,US$742
12,The Atrium Hotel,US$758
13,IntercityHotel Frankfurt Airport,US$767
14,Savoy Hotel,US$703
15,Manhattan Hotel,US$783
16,Hotel Victoria,US$807
17,Novum Hotel Imperial Frankfurt Messe,US$820
18,Moxy Frankfurt Airport,US$834
19,INNSiDE by Meliá Frankfurt Ostend,US$837
20,Skyline Hotel City Frankfurt,US$845
21,Mövenpick Hotel Frankfurt City,US$852
22,Mercure Residenz Frankfurt Messe,US$872
23,Adina Apartment Hotel Frankfurt Westend,US$873
24,Maritim Hotel Frankfurt,US$874
